1,2,3
23,246,132
6,27,7
24,394,58
33,124,48
38,52,421
28,319,105
12,5,185
17,60,8
38,71,632
28,40,296
6,44,311
23,138,204
16,18,171
47,74,202
20,86,203
74,73,11
23,538,10
90,137,31
6,45,6
7,250,20
58,43,236
13,131,286
36,187,67
38,140,177
16,149,53
91,69,170
154,24,217
58,90,120
17,57,31
36,12,251
22,21,216
35,9,29
78,37,303
23,301,209
74,10,8
37,19,78
26,178,30
41,260,5
5,8,259
76,105,126
9,59,178
46,43,41
12,234,23
23,464,12
45,184,286
30,352,89
36,232,10
242,57,467
92,205,132
17,155,16
22,197,20
10,85,
71,300,
136,398,
7,6,
34,72,
57,110,
23,24,
40,337,
48,214,
40,225,
77,,
68,,
6,,
29,,
18,,
32,,
42,,
7,,
22,,
43,,
38,,
18,,
35,,
13,,
17,,
137,,
54,,
13,,
230,,
21,,
17,,
17,,
15,,
7,,
109,,
60,,
26,,
76,,
15,,
321,,
48,,
29,,
5,,
7,,
11,,
60,,
21,,
8,,
25,,
34,,
84,,
50,,
5,,
13,,
18,,
65,,
9,,
37,,
21,,
20,,
61,,
212,,
45,,
46,,
81,,
53,,
37,,
296,,
202,,
21,,
36,,
26,,
43,,
20,,
67,,
