1,2,3
15,161,326
33,206,8
28,367,141
19,90,32
151,73,302
16,213,77
103,29,6
143,34,116
39,120,290
13,109,341
60,22,119
37,144,143
9,73,153
21,153,371
119,23,77
64,331,38
101,225,45
30,59,43
17,277,60
23,81,26
6,114,396
299,6,9
68,111,30
193,18,36
321,76,37
6,61,195
55,151,8
28,47,362
519,23,149
37,203,12
20,13,27
61,59,86
52,308,54
6,740,111
40,92,138
15,77,416
35,14,119
11,53,121
10,79,186
31,62,243
6,164,217
17,38,7
10,22,79
36,144,594
35,159,9
42,75,24
298,123,124
80,58,109
7,716,137
217,73,51
5,79,185
6,47,153
45,72,61
294,69,92
83,74,250
49,81,126
37,144,440
284,102,17
6,69,256
142,32,17
36,82,126
58,25,10
7,,6
89,,413
7,,
18,,
320,,
32,,
6,,
