1,2,3
41,73,81
7,110,8
22,57,178
26,54,403
18,14,126
182,79,777
60,325,30
97,339,49
97,307,141
10,24,10
284,143,172
384,217,41
7,24,6
192,134,49
319,131,48
13,97,10
7,394,168
29,194,18
6,87,19
50,37,152
14,201,131
14,206,13
23,319,58
6,185,24
41,152,39
17,223,375
19,29,295
50,165,110
56,353,31
37,106,60
24,45,20
29,258,5
196,264,28
30,202,125
68,51,228
85,280,8
101,372,349
389,43,45
56,40,115
29,238,767
121,93,40
151,213,28
47,70,106
26,138,23
8,20,11
50,181,8
16,94,168
42,206,11
106,70,172
23,8,113
116,,268
31,,280
150,,432
128,,121
8,,12
34,,129
,,36
,,63
,,88
,,34
,,35
,,111
,,156
,,196
,,96
,,9
,,35
,,18
,,67
,,10
,,7
,,8
,,27
,,10
,,141
