1,2,3
86,231,194
15,11,87
250,357,124
455,312,55
54,87,353
12,126,287
141,202,41
1145,569,580
143,5,60
40,302,93
5,12,74
47,301,10
564,196,20
349,129,169
41,423,25
231,287,34
694,263,148
101,36,156
131,765,24
243,27,38
33,347,393
12,128,232
53,41,136
148,735,437
75,506,302
73,743,77
112,106,891
8,84,282
59,341,87
97,345,632
73,38,14
14,471,472
9,81,147
171,115,13
69,359,596
14,122,539
414,979,110
39,897,6
72,9,139
236,31,158
148,310,24
101,836,38
7,81,
15,488,
94,64,
277,148,
227,,
11,,
97,,
35,,
346,,
70,,
16,,
10,,
26,,
19,,
83,,
548,,
119,,
88,,
