1,2,3
7,328,15
11,186,222
16,84,70
51,162,38
135,14,187
7,355,174
23,56,204
7,89,170
42,16,229
87,25,312
195,329,19
140,19,169
24,21,343
9,132,12
5,,7
16,,11
72,,46
43,,92
5,,67
20,,7
36,,16
50,,253
31,,106
24,,121
12,,249
97,,89
5,,62
16,,47
34,,188
17,,679
9,,62
11,,5
24,,13
24,,17
35,,221
5,,94
14,,147
42,,471
16,,341
5,,7
35,,34
5,,373
64,,5
19,,23
9,,221
58,,43
54,,197
31,,23
14,,46
76,,479
16,,69
123,,88
44,,50
132,,24
19,,16
283,,78
43,,
93,,
18,,
6,,
7,,
10,,
23,,
97,,
35,,
50,,
99,,
18,,
6,,
18,,
8,,
34,,
46,,
64,,
15,,
5,,
30,,
51,,
27,,
5,,
9,,
8,,
13,,
152,,
192,,
30,,
25,,
19,,
20,,
37,,
218,,
33,,
36,,
40,,
614,,
312,,
27,,
119,,
6,,
30,,
43,,
34,,
8,,
16,,
7,,
11,,
20,,
10,,
76,,
221,,
20,,
38,,
24,,
10,,
27,,
6,,
21,,
22,,
51,,
54,,
15,,
43,,
89,,
17,,
9,,
46,,
43,,
66,,
12,,
157,,
26,,
22,,
11,,
27,,
27,,
14,,
32,,
26,,
34,,
10,,
50,,
26,,
117,,
61,,
67,,
63,,
321,,
20,,
154,,
166,,
203,,
10,,
13,,
98,,
37,,
123,,
48,,
144,,
96,,
10,,
106,,
428,,
21,,
