1,2,3
23,191,54
92,159,17
12,594,376
13,5,141
133,199,16
44,86,237
217,589,135
116,384,241
109,511,21
38,183,457
23,19,11
27,143,702
66,153,10
255,30,240
88,7,37
19,187,6
14,103,176
130,272,195
134,9,77
14,270,267
168,85,61
148,79,341
158,30,72
247,6,59
93,217,180
24,468,138
14,15,81
111,68,229
51,265,185
219,243,50
78,21,209
63,53,38
7,439,162
308,185,17
96,149,150
39,31,86
40,166,22
22,467,193
15,34,27
9,511,11
39,43,232
64,83,44
15,116,
52,11,
21,144,
135,122,
86,49,
31,19,
400,28,
186,294,
97,327,
380,139,
54,148,
13,48,
203,120,
16,22,
29,707,
132,26,
13,183,
113,353,
65,348,
159,,
48,,
61,,
111,,
37,,
111,,
7,,
134,,
23,,
60,,
113,,
53,,
13,,
5,,
9,,
15,,
198,,
37,,
5,,
12,,
33,,
65,,
12,,
203,,
130,,
298,,
147,,
87,,
6,,
75,,
5,,
75,,
27,,
136,,
14,,
103,,
125,,
57,,
7,,
56,,
51,,
186,,
6,,
94,,
258,,
10,,
103,,
34,,
9,,
147,,
88,,
8,,
34,,
45,,
5,,
17,,
