,address,business_id,categories,city,hours,is_open,latitude,longitude,name,postal_code,review_count,stars,state
1158,5204 W Franklin Rd,nnZIsmpIQnuQY5S-MoGyvg,"Vietnamese, Sandwiches, Specialty Food, Food, Delis, Juice Bars & Smoothies, Ethnic Food, Restaurants",Boise,"{'Monday': '9:0-20:0', 'Tuesday': '9:0-20:0', 'Wednesday': '9:0-20:0', 'Thursday': '9:0-20:0', 'Friday': '9:0-20:0', 'Saturday': '9:0-20:0', 'Sunday': '9:0-19:0'}",1,43.603511,-116.245104,Baguette Deli,83705,207,4,ID
1480,590 E Boise Ave,ZxnLTULBWGs8cC6xtY6yrQ,"Thai, Restaurants",Boise,,0,43.5791529,-116.175362,Siam Thai Restaurant,83706,27,3,ID
3602,"12375 W Chinden Blvd, Ste C",JMczMvfpoCnhyjL523dONg,"Noodles, Salad, Thai, Restaurants",Boise,"{'Monday': '11:0-21:0', 'Tuesday': '11:0-21:0', 'Wednesday': '11:0-21:0', 'Thursday': '11:0-21:0', 'Friday': '11:0-22:0', 'Saturday': '17:0-22:0'}",1,43.6620287,-116.3372137,Boise Thai Noodle House,83713,16,4.5,ID
3665,7310 W State St,vm-0mL8lFKWepPqeZO0ehQ,"Restaurants, Vietnamese",Boise,,0,43.668941,-116.279493,Pho 79,83714,42,3,ID
4666,8053 W Emerald St,dBgswyYc_lRk5vbzIMgDhQ,"Thai, Asian Fusion, Restaurants, Vietnamese",Boise,"{'Monday': '17:0-21:0', 'Tuesday': '17:0-21:0', 'Wednesday': '17:0-21:0', 'Thursday': '17:0-21:0', 'Friday': '17:0-21:30', 'Saturday': '12:0-21:30', 'Sunday': '12:0-20:0'}",0,43.6320897,-116.2863998,A Taste of Thai,83704,42,3.5,ID
6744,750 W Idaho St,YqoMDkuSbRPjzc39ty4PgA,"Thai, Sushi Bars, Asian Fusion, Restaurants",Boise,"{'Monday': '0:0-0:0', 'Tuesday': '17:0-22:0', 'Wednesday': '17:0-22:0', 'Thursday': '17:0-22:0', 'Friday': '17:0-23:0', 'Saturday': '17:0-23:0', 'Sunday': '17:0-21:30'}",1,43.6164418,-116.2021508,Mai Thai,83702,462,4,ID
8060,6777 W Overland Rd,byDF67_RYSmIOuQlwAD5KA,"Restaurants, Thai",Boise,"{'Monday': '16:0-21:15', 'Tuesday': '16:0-21:15', 'Wednesday': '16:0-21:15', 'Thursday': '16:0-21:15', 'Friday': '16:0-21:45', 'Saturday': '16:0-21:15'}",1,43.5898219,-116.2661422,Thai Cuisine,83709,225,4.5,ID
9083,7700 W Goddard Rd,l9QTHlTFmZhTw7Hdb1QyFA,"Vietnamese, Food, Restaurants",Boise,"{'Monday': '11:30-21:30', 'Tuesday': '11:30-21:30', 'Wednesday': '17:0-21:30', 'Thursday': '11:0-21:30', 'Friday': '17:0-21:30', 'Saturday': '17:0-21:30'}",0,43.6441651,-116.2783749,Pho Bac,83704,162,4,ID
9645,590 E Boise Ave,_OuzpHfM9Xo4_uY3OOeKlw,"Restaurants, Thai",Boise,"{'Monday': '16:0-20:0', 'Tuesday': '16:0-20:0', 'Wednesday': '16:0-20:0', 'Thursday': '16:0-20:0', 'Friday': '16:0-21:0', 'Saturday': '16:0-21:0'}",1,43.5801234,-116.1757104,Thai Basil,83706,31,3.5,ID
9906,577 E Park Blvd,jNbGTU9RJ_HK-O3tdo3hKA,"Restaurants, Thai",Boise,"{'Tuesday': '11:30-19:30', 'Wednesday': '11:30-19:30', 'Thursday': '11:30-19:30', 'Friday': '11:30-19:30', 'Saturday': '11:30-19:30'}",0,43.6052972,-116.192646,Pat's Thai Kitchen,83712,71,3.5,ID
10962,4898 Emerald St,B65v5G8kMbOz16YdLITHcA,"Thai, Restaurants",Boise,"{'Monday': '17:0-21:30', 'Tuesday': '17:0-21:30', 'Wednesday': '17:0-21:30', 'Thursday': '17:0-21:30', 'Friday': '17:0-22:0', 'Saturday': '17:0-22:0', 'Sunday': '17:0-22:0'}",1,43.6123306,-116.2427123,Chiang Mai House Thai Restaurant,83706,143,3.5,ID
