,address,business_id,categories,city,hours,latitude,longitude,name,postal_code,review_count,stars,state,OutdoorSeating,BusinessAcceptsCreditCards,RestaurantsPriceRange2,RestaurantsTakeOut,WiFi,ParkingAvailability
0,935 Race St,MTSW4McQd7CbVtyjqoe9mw,"Restaurants, Food, Bubble Tea, Coffee & Tea, Bakeries",Philadelphia,"{'Monday': '7:0-20:0', 'Tuesday': '7:0-20:0', 'Wednesday': '7:0-20:0', 'Thursday': '7:0-20:0', 'Friday': '7:0-21:0', 'Saturday': '7:0-21:0', 'Sunday': '7:0-21:0'}",39.9555052,-75.1555641,St Honore Pastries,19107,80.0,4.0,PA,0,0,1,1,free,1.0
1,3604 Chestnut St,ppFCk9aQkM338Rgwpl2F5A,"Restaurants, Automotive, Delis, Gas Stations, Food, Coffee & Tea, Sandwiches, Convenience Stores",Philadelphia,"{'Monday': '0:0-0:0', 'Tuesday': '0:0-0:0', 'Wednesday': '0:0-0:0', 'Thursday': '0:0-0:0', 'Friday': '0:0-0:0', 'Saturday': '0:0-0:0', 'Sunday': '0:0-0:0'}",39.954573,-75.1948936,Wawa,19104,56.0,3.0,PA,0,1,1,1,free,1.0
2,1523 E Susquehanna Ave,2dlQX5sP9X6Dlm1MmNOlSw,"Food, Coffee & Tea",Philadelphia,"{'Monday': '0:0-0:0', 'Tuesday': '8:0-15:0', 'Wednesday': '7:0-15:0', 'Thursday': '8:0-15:0', 'Friday': '7:0-15:0', 'Saturday': '8:0-15:0', 'Sunday': '8:0-15:0'}",39.9764555,-75.1270254,ReAnimator Coffee,19125,105.0,4.0,PA,1,1,1,1,free,1.0
3,765 S 4th St,bTve2mwLk5Zc01vRKqc2KQ,"Restaurants, Breakfast & Brunch, Vegan, Bagels, Food, Coffee & Tea",Philadelphia,"{'Monday': '7:0-18:0', 'Tuesday': '7:0-18:0', 'Wednesday': '7:0-18:0', 'Thursday': '7:0-18:0', 'Friday': '7:0-18:0', 'Saturday': '7:0-18:0', 'Sunday': '7:0-18:0'}",39.9385518,-75.1496356,Red Hook Coffee & Tea,19147,183.0,4.5,PA,1,0,1,1,free,1.0
4,"4514 B City Line Ave, Ste 220",bchZXVE4feVx4Q5rhIRCGg,"Restaurants, Food, Bagels, Breakfast & Brunch, Coffee & Tea, Sandwiches, Delis, American (New)",Philadelphia,"{'Monday': '0:0-0:0', 'Tuesday': '7:0-16:0', 'Wednesday': '7:0-16:0', 'Thursday': '7:0-16:0', 'Friday': '7:0-16:0', 'Saturday': '7:0-16:0', 'Sunday': '7:0-16:0'}",40.0027825,-75.2222705,NY Bagel Cafe & Deli,19131,52.0,3.0,PA,0,1,1,1,free,0.0
5,1120 Buttonwood St,VCkSUsdL5P0p16DAPxVROA,"Bagels, Food, Breakfast & Brunch, Coffee & Tea, Restaurants, Burgers, Delis",Philadelphia,"{'Monday': '7:0-16:0', 'Tuesday': '7:0-16:0', 'Wednesday': '7:0-16:0', 'Thursday': '7:0-16:0', 'Friday': '7:0-16:0', 'Saturday': '7:0-16:0', 'Sunday': '7:0-16:0'}",39.960811,-75.1573883,NY Bagel & Deli Shop,19123,31.0,4.0,PA,,1,,1,free,1.0
6,325 N 12th St,PW5eZM5RAQEhy3wgovChhQ,"Food, Cafes, Restaurants, Coffee & Tea, Breakfast & Brunch",Philadelphia,"{'Monday': '7:0-15:0', 'Tuesday': '7:0-15:0', 'Wednesday': '7:0-15:0', 'Thursday': '7:0-15:0', 'Friday': '7:0-15:0'}",39.958422,-75.158257,Cafe Victoria's,19107,29.0,3.0,PA,1,1,1,1,free,1.0
7,501 Franklin Mill Cir,kLSEk3qXY1KdtFjxHJ9pww,"Restaurants, Fast Food, Food, Coffee & Tea, Burgers",Philadelphia,"{'Monday': '5:30-0:0', 'Tuesday': '5:30-0:0', 'Wednesday': '5:30-0:0', 'Thursday': '5:30-0:0', 'Friday': '5:30-1:0', 'Saturday': '5:30-1:0', 'Sunday': '7:0-23:0'}",40.0884161,-74.9650112,McDonald's,19154,20.0,1.5,PA,0,1,1,1,,0.0
8,3744 Spruce St,RrqRin8BYGrTlJbCDwtLzA,"Delis, Gas Stations, Food, Convenience Stores, Restaurants, Automotive, Coffee & Tea, Sandwiches",Philadelphia,"{'Monday': '0:0-0:0', 'Tuesday': '0:0-0:0', 'Wednesday': '0:0-0:0', 'Thursday': '0:0-0:0', 'Friday': '0:0-0:0', 'Saturday': '0:0-0:0', 'Sunday': '0:0-0:0'}",39.9510885597,-75.1989988336,Wawa,19104,50.0,3.5,PA,0,1,1,1,free,1.0
9,1128 Walnut St,IgNDlyLERBwFGphgcC5VDQ,"Sandwiches, Vegetarian, Pizza, Food, Coffee & Tea, Delis, Restaurants, American (New)",Philadelphia,"{'Monday': '6:0-22:0', 'Tuesday': '6:0-22:0', 'Wednesday': '6:0-22:0', 'Thursday': '6:0-22:0', 'Friday': '6:0-22:0', 'Saturday': '7:0-22:0', 'Sunday': '7:0-22:0'}",39.9487514826,-75.1604487143,Cosi,19107,63.0,2.5,PA,1,1,1,1,free,1.0
10,1444 S Broad St,I4TFiNX5gTsJBnEGH2Tl8Q,"Juice Bars & Smoothies, Sandwiches, Food, Restaurants, Coffee & Tea",Philadelphia,"{'Monday': '7:0-18:0', 'Tuesday': '7:0-18:0', 'Wednesday': '7:0-18:0', 'Thursday': '7:0-18:0', 'Friday': '7:0-18:0', 'Saturday': '7:0-18:0', 'Sunday': '7:0-18:0'}",39.931855,-75.168473,Benna's West,19146,47.0,3.5,PA,1,0,1,1,free,1.0
11,"1001 N 2nd St, Ste 9",xb-qtXVZ7xFr51Se5fAZjg,"Sandwiches, Breakfast & Brunch, Coffee & Tea, Food, Restaurants, Cafes, Juice Bars & Smoothies",Philadelphia,"{'Monday': '7:30-21:0', 'Tuesday': '7:30-21:0', 'Wednesday': '7:30-21:0', 'Thursday': '7:30-21:0', 'Friday': '7:30-21:0', 'Saturday': '7:30-21:0', 'Sunday': '7:30-21:0'}",39.9667910353,-75.1400172338,Saige Café,19123,14.0,3.0,PA,1,1,,1,free,0.0
12,4618 Baltimore Ave,U30ggGzFpXvc2NZYwOW3qg,"Cafes, Pakistani, Juice Bars & Smoothies, Restaurants, Ice Cream & Frozen Yogurt, Halal, Indian, Coffee & Tea, Food",Philadelphia,"{'Monday': '12:0-22:0', 'Tuesday': '12:0-22:0', 'Wednesday': '12:0-22:0', 'Thursday': '12:0-22:0', 'Friday': '12:0-22:0', 'Saturday': '12:0-22:0', 'Sunday': '12:0-22:0'}",39.9486639126,-75.2158315415,Mood Cafe,19143,458.0,4.5,PA,1,1,1,1,no,1.0
13,914 S Broad St,kgMEBZG6rjkGeFzPaIM4MQ,"Fast Food, Food, Restaurants, Coffee & Tea, Burgers",Philadelphia,"{'Monday': '6:0-0:0', 'Tuesday': '6:0-0:0', 'Wednesday': '6:0-0:0', 'Thursday': '6:0-0:0', 'Friday': '6:0-1:0', 'Saturday': '6:0-1:0', 'Sunday': '6:0-0:0'}",39.9394402,-75.1668049,McDonald's,19146,55.0,2.0,PA,1,1,1,1,free,0.0
14,701-03 S 5th St,ZyyExneJPXjci7yc2CGAPQ,"Coffee & Tea, Food",Philadelphia,"{'Monday': '7:0-19:0', 'Tuesday': '7:0-19:0', 'Wednesday': '7:0-19:0', 'Thursday': '7:0-19:0', 'Friday': '7:0-19:0', 'Saturday': '8:0-19:0', 'Sunday': '13:0-19:0'}",39.940311,-75.15099,Cups & Chairs,19147,80.0,4.5,PA,1,1,1,,free,1.0
15,119 S 21st St,Bb3F76xkJrA-IwXLNK52RQ,"Food, Coffee & Tea",Philadelphia,,39.9511237,-75.1755163,Alchemy Coffee,19103,19.0,5.0,PA,1,1,2,1,free,0.0
16,3925 Walnut St,A0F-h3xJm_6gHDKcDQwSrQ,"Pizza, Restaurants, Gelato, Coffee & Tea, Ice Cream & Frozen Yogurt, Food",Philadelphia,"{'Monday': '8:0-22:30', 'Tuesday': '8:0-22:30', 'Wednesday': '8:0-22:30', 'Thursday': '8:0-22:30', 'Friday': '8:0-0:0', 'Saturday': '8:0-0:0', 'Sunday': '8:0-22:30'}",39.9541715545,-75.2013800841,Capogiro Gelato,19104,252.0,4.0,PA,1,1,2,1,free,1.0
17,6227 Lancaster Ave,duf2PORLOL6it1dTGhSnKA,"Breakfast & Brunch, Restaurants, Coffee & Tea, Food, Sandwiches, American (New)",Philadelphia,"{'Monday': '6:0-14:0', 'Tuesday': '6:0-14:0', 'Wednesday': '6:0-14:0', 'Thursday': '6:0-14:0', 'Friday': '6:0-14:0', 'Saturday': '6:30-14:30', 'Sunday': '6:30-14:30'}",39.9850064107,-75.246888042,Junes Breakfast,19151,20.0,2.5,PA,0,0,1,1,no,1.0
18,212 S 12th St,eqNutOMnPqKa9QDAY6KfEw,"Food, Juice Bars & Smoothies, Coffee & Tea, Restaurants, Bakeries, Cafes",Philadelphia,"{'Monday': '0:0-0:0', 'Tuesday': '7:0-16:0', 'Wednesday': '7:0-16:0', 'Thursday': '8:0-13:0', 'Friday': '8:0-13:0', 'Saturday': '8:0-16:0', 'Sunday': '8:0-16:0'}",39.948081,-75.1608093,J'aime French Bakery,19107,310.0,4.5,PA,1,1,2,1,free,1.0
19,1321 S 2nd St,pXb7pDVPayyElIqVlh1FOg,"Ice Cream & Frozen Yogurt, Coffee & Tea, Food",Philadelphia,"{'Monday': '15:0-20:0', 'Tuesday': '15:0-20:0', 'Wednesday': '15:0-20:0', 'Thursday': '15:0-20:0', 'Friday': '15:0-20:0', 'Saturday': '9:0-20:0', 'Sunday': '9:0-20:0'}",39.9310268,-75.1478088,Brown Chicken Brown Cow,19147,5.0,4.0,PA,,0,1,,free,0.0
20,4728 Baltimore Ave,14ZGwnDyydXdSBsLXpSUrA,"Vietnamese, Restaurants, Food, Thai, Coffee & Tea, Laotian",Philadelphia,"{'Monday': '0:0-0:0', 'Tuesday': '16:0-21:0', 'Wednesday': '16:0-21:0', 'Thursday': '16:0-21:0', 'Friday': '16:0-21:0', 'Saturday': '16:0-21:0'}",39.9483087,-75.2178905,Vientiane Café,19143,304.0,4.0,PA,1,0,2,1,no,1.0
21,1601 John F Kennedy Blvd,9XpU6r6ATXSWYfbU7kibaQ,"Coffee & Tea, Restaurants, Food, Coffee Roasteries, Sandwiches",Philadelphia,,39.9542012,-75.1674658,Passero's Coffee Roasters,19103,91.0,4.5,PA,0,1,1,1,free,1.0
22,1018 N 2nd St,sD2yBIzp0SNYRMD4QfH9Jw,"Food, Coffee & Tea",Philadelphia,"{'Monday': '6:0-17:0', 'Tuesday': '6:0-17:0', 'Wednesday': '6:0-17:0', 'Thursday': '6:0-17:0', 'Friday': '6:0-17:0', 'Saturday': '6:0-13:0', 'Sunday': '6:0-13:0'}",39.96651,-75.140377,Starbucks,19123,13.0,2.5,PA,,,,,free,1.0
23,847 N 16th St,GOSVLhjUT6TnrPhkkmDOpw,"Coffee & Tea, Cafes, Food, Creperies, Internet Cafes, Restaurants, Breakfast & Brunch",Philadelphia,"{'Monday': '0:0-0:0', 'Tuesday': '7:0-15:0', 'Wednesday': '7:0-15:0', 'Thursday': '7:0-15:0', 'Friday': '7:0-15:0', 'Saturday': '8:0-15:0', 'Sunday': '8:0-15:0'}",39.969939,-75.163026,Vineyards Cafe,19130,192.0,4.5,PA,1,1,1,0,free,1.0
24,19th St & Market St,kLS3Sth5HvO0IjrXCCvXxA,"Food, Automotive, Convenience Stores, Coffee & Tea, Gas Stations, Sandwiches, Restaurants",Philadelphia,"{'Monday': '0:0-0:0', 'Tuesday': '0:0-0:0', 'Wednesday': '0:0-0:0', 'Thursday': '0:0-0:0', 'Friday': '0:0-0:0', 'Saturday': '0:0-0:0', 'Sunday': '0:0-0:0'}",39.953351,-75.172624,Wawa,19103,45.0,2.5,PA,,1,1,1,free,1.0
