,address,business_id,categories,city,hours,is_open,latitude,longitude,name,postal_code,review_count,stars,state
4,,eEOYSgkmpB90uNA7lDOMRA,"Vietnamese, Food, Restaurants, Food Trucks",Tampa Bay,"{'Monday': '11:0-14:0', 'Tuesday': '11:0-14:0', 'Wednesday': '11:0-14:0', 'Thursday': '11:0-14:0', 'Friday': '11:0-14:0', 'Saturday': '5:0-10:0', 'Sunday': '15:0-18:0'}",1,27.9552692,-82.4563199,Vietnamese Food Truck,33602,10,4,FL
140,875 E Bloomingdale Ave,iBRXLFWD7PeSYDbKsd_JTw,"Food, Ethnic Food, Specialty Food, Restaurants, Thai",Brandon,"{'Monday': '11:0-21:0', 'Tuesday': '11:0-21:0', 'Wednesday': '11:0-21:0', 'Thursday': '11:0-21:0', 'Friday': '11:0-22:0', 'Saturday': '11:0-22:0'}",0,27.89157384,-82.2725105,Mai Thai Restaurant,33511,27,4.5,FL
157,202 Market Pl,wQjhFPMKwN_z85aPEn6V4Q,"Restaurants, Thai, Food, Specialty Food, Ethnic Food",Montgomeryville,,0,40.25018418,-75.24330139,Thai Tanic,18936,8,3,PA
171,922 Massachusetts Ave,rR30b1XWbxZFFgLyGbfNAw,"Gastropubs, Nightlife, Restaurants, Thai, Bars, Cocktail Bars",Indianapolis,"{'Monday': '0:0-0:0', 'Wednesday': '17:0-22:0', 'Thursday': '17:0-22:0', 'Friday': '17:0-22:0', 'Saturday': '17:0-22:0', 'Sunday': '17:0-21:0'}",1,39.7802203,-86.1418027,BODHI : Craft Bar + Thai Bistro,46202,132,4.5,IN
176,10127 100A Street NW,GpFRwCHN0RI8yFbcfXjfUg,"Vietnamese, Sandwiches, Restaurants",Edmonton,"{'Monday': '10:0-19:30', 'Tuesday': '10:0-19:30', 'Wednesday': '10:0-19:30', 'Thursday': '10:0-19:30', 'Friday': '10:0-19:30'}",1,53.5417173,-113.4919398,V Sandwiches,T5J,9,3.5,AB
248,509 Linden Ave,18eWJFJbXyR9j_5xfcRLYA,"Restaurants, Thai",Carpinteria,"{'Tuesday': '17:0-21:30', 'Wednesday': '17:0-21:30', 'Thursday': '17:0-21:30', 'Friday': '17:0-21:30', 'Saturday': '12:0-21:30', 'Sunday': '12:0-21:30'}",1,34.3965102,-119.5216815,Siam Elephant,93013,460,4.5,CA
340,6066 E 82th St,kpFgC_cTU2yBPi-G_vFHTA,"Thai, Restaurants, Noodles, Soup",Indianapolis,"{'Monday': '16:0-21:0', 'Tuesday': '16:0-21:0', 'Wednesday': '16:0-21:0', 'Thursday': '16:0-21:0', 'Friday': '16:0-22:0', 'Saturday': '11:0-22:0', 'Sunday': '16:0-21:0'}",0,39.9060335,-86.0639725,Thai King,46250,7,4.5,IN
342,2135 St Charles Ave,qWZimITbVwNSGJZsuM47-Q,"Nightlife, Bars, Vietnamese, Restaurants, French",New Orleans,"{'Monday': '11:0-21:0', 'Tuesday': '11:0-21:0', 'Thursday': '11:0-21:0', 'Friday': '11:0-21:0', 'Saturday': '11:0-21:0', 'Sunday': '12:0-20:0'}",0,29.93452072,-90.08061218,Pho Orchid Uptown,70130,81,3.5,LA
363,4373 Main St,4TQMOy00KD_54xSFwKgMZw,"Restaurants, Thai, Food, Cafes, Cupcakes",Philadelphia,"{'Monday': '11:0-21:0', 'Tuesday': '11:0-21:0', 'Wednesday': '11:0-21:0', 'Thursday': '11:0-21:0', 'Friday': '11:0-22:0', 'Saturday': '11:0-22:0', 'Sunday': '11:0-21:0'}",0,40.02584229,-75.22438937,Ndulge,19127,15,3.5,PA
379,610 S 5th St,DOl21AqtT74dUZ3kvXNNcA,"Restaurants, Malaysian, Burmese, Asian Fusion, Thai",Philadelphia,"{'Monday': '0:0-0:0', 'Tuesday': '12:0-22:0', 'Wednesday': '12:0-22:0', 'Thursday': '12:0-22:0', 'Friday': '12:0-22:0', 'Saturday': '12:0-22:0'}",1,39.94152013,-75.15097027,Golden Triangle,19147,159,4.5,PA
