,address,business_id,categories,city,hours,is_open,latitude,longitude,name,postal_code,review_count,stars,state
1968,"204 N Capitol Blvd, Ste 10",Y7Qy-Tpa7c_RHrlCpUrIGw,"Bars, Japanese, American (Traditional), Ramen, Nightlife, Restaurants",Boise,"{'Monday': '0:0-0:0', 'Tuesday': '16:0-0:0', 'Wednesday': '16:0-0:0', 'Thursday': '16:0-0:0', 'Friday': '16:0-0:0', 'Saturday': '16:0-0:0', 'Sunday': '16:0-0:0'}",0,43.61597787,-116.2012621,RamaPong,83702,47,4,ID
2516,2325 S Apple St,sI0B9BdUVPXFtF27RI3Fdw,"Japanese, Nightlife, Bars, Sushi Bars, Restaurants",Boise,"{'Monday': '17:0-21:0', 'Tuesday': '17:0-21:0', 'Wednesday': '17:0-21:0', 'Thursday': '17:0-21:0', 'Friday': '17:0-21:30', 'Saturday': '17:0-21:30', 'Sunday': '17:0-21:0'}",1,43.5821128,-116.174237,Wasabi Sushi,83706,81,4,ID
7285,8TH St Between Idaho And Main,cecyga413k10rW-ijJDCiw,"Restaurants, Food, Street Vendors, Japanese",Boise,,1,43.61597963,-116.203159,Genki Takoyaki,83702,14,4,ID
8966,"350 N Milwaukee St, Upper Level Food Court",s3LIanS0uph_79Yx8VNlvw,"Japanese, Restaurants",Boise,"{'Monday': '10:0-21:0', 'Tuesday': '10:0-21:0', 'Wednesday': '10:0-21:0', 'Thursday': '10:0-21:0', 'Friday': '10:0-21:0', 'Saturday': '10:0-21:0', 'Sunday': '10:0-21:0'}",1,43.60743459,-116.2788461,Osaka Japan,83704,7,3,ID
9003,303 N Orchard St,y9MxM_-xjrQWD0WUnf_1jw,"Restaurants, Japanese, Sushi Bars",Boise,,0,43.6071978,-116.2439151,Sono Bana,83706,25,3.5,ID
9705,"100 N 8th St, Ste 215",SPGFnlX6szNW-tfvy04RBw,"Asian Fusion, Japanese, Seafood, Restaurants",Boise,"{'Monday': '17:0-22:0', 'Tuesday': '17:0-22:0', 'Wednesday': '17:0-22:0', 'Thursday': '17:0-22:0', 'Friday': '17:0-22:0', 'Saturday': '17:0-22:0'}",0,43.6160672,-116.2026668,Shige Japanese Cuisine,83702,137,3.5,ID
10368,303 N Orchard St,1Bz35Rxa9CiE7PiOSDpnTA,"Japanese, Restaurants, Sushi Bars",Boise,"{'Monday': '11:30-21:30', 'Tuesday': '11:30-21:30', 'Wednesday': '11:30-21:30', 'Thursday': '11:30-21:30', 'Friday': '11:30-22:0', 'Saturday': '11:30-22:0'}",0,43.607244,-116.243953,Wasabi,83706,23,3.5,ID
10889,283 N Milwaukee St,QtgubTRRFHtEL_fmsMQRCg,"Japanese, Restaurants",Boise,"{'Monday': '0:0-0:0', 'Wednesday': '11:0-22:0', 'Thursday': '11:0-22:0', 'Friday': '11:0-22:30', 'Saturday': '11:0-22:30', 'Sunday': '12:0-21:0'}",1,43.6073753,-116.2849968,Fujiyama,83704,178,4,ID
10957,7107 W State St,RTSlCdSGWJZy0SjTaWsMtQ,"Bars, Restaurants, Nightlife, Sushi Bars, Japanese",Boise,"{'Monday': '11:0-22:0', 'Tuesday': '11:0-22:0', 'Wednesday': '11:0-22:0', 'Thursday': '11:0-22:0', 'Friday': '11:0-23:0', 'Saturday': '11:0-23:0', 'Sunday': '12:0-21:0'}",1,43.667042,-116.277978,Sakana Japanese Sushi Bar & Grill,83714,52,3.5,ID
11070,925 S Vista Ave,8pKHyTeLC6vsGiLTQ9eSeQ,"Sushi Bars, Soup, Restaurants, Japanese",Boise,"{'Monday': '11:0-22:0', 'Tuesday': '11:0-22:0', 'Wednesday': '11:0-22:0', 'Thursday': '11:0-22:0', 'Friday': '11:0-22:0', 'Saturday': '11:0-22:0', 'Sunday': '12:0-21:0'}",1,43.5957666,-116.2139325,Sakana Sushi Bar and Grill,83705,172,4,ID
14907,8716 W Fairview Ave,zgdGeg4L13C2Rbm4UARtHw,"Restaurants, Desserts, Japanese, Ramen, Food, Sushi Bars",Boise,"{'Monday': '0:0-0:0', 'Tuesday': '11:0-22:0', 'Thursday': '11:0-22:0', 'Friday': '11:0-23:0', 'Saturday': '11:0-23:0', 'Sunday': '12:0-21:0'}",1,43.619719,-116.290423,Island Sushi & Ramen,83704,313,4.5,ID
15531,"6580 S Federal Way, Ste 160",SzEV-Sz9_kRNQSxwXTPYrg,"Restaurants, Japanese, Food, Bubble Tea, Asian Fusion",Boise,"{'Monday': '11:0-20:0', 'Tuesday': '11:0-20:0', 'Wednesday': '11:0-20:0', 'Thursday': '11:0-20:0', 'Friday': '11:0-20:0', 'Saturday': '11:0-20:0'}",1,43.54195819,-116.1533847,Happy Teriyaki,83716,23,4,ID
15854,1000 W Main St,hTL8J3fSb0ijEabyRxSoHg,"Asian Fusion, Japanese, Restaurants",Boise,"{'Monday': '11:0-19:0', 'Tuesday': '11:0-19:0', 'Wednesday': '11:0-19:0', 'Thursday': '11:0-19:0', 'Friday': '11:0-19:0'}",1,43.61704,-116.20593,Zen Bento,83702,51,3.5,ID
18420,615 W Main St,rIUVqoeHaKHloOyO26m_sA,"Japanese, Restaurants",Boise,,0,43.6145757,-116.2019231,Zutto Japanese Restaurant,83702,5,4,ID
18624,405 S Capitol Blvd,HviAzkMvhZbyT8dUH9BkLQ,"Sushi Bars, Restaurants, Japanese",Boise,"{'Monday': '11:30-21:0', 'Tuesday': '11:30-21:0', 'Wednesday': '11:30-21:0', 'Thursday': '11:30-21:0', 'Friday': '11:30-22:0', 'Saturday': '11:30-22:0'}",1,43.6127584,-116.2047196,Yoi Tomo Sushi & Grill,83702,406,4,ID
