1,2,3
137,245,15
12,72,159
783,92,304
33,219,116
5,95,180
6,72,307
26,10,818
263,209,67
27,193,151
10,100,74
8,97,248
231,105,79
16,55,191
84,30,10
87,30,150
9,118,20
44,53,104
35,209,25
10,550,23
26,22,322
75,18,141
83,12,421
231,43,27
25,544,28
25,28,12
6,99,30
19,6,6
12,250,63
14,25,88
100,18,14
12,400,166
40,37,27
14,938,91
22,40,36
9,228,43
14,7,12
95,1693,62
19,16,73
68,77,43
58,6,102
22,91,137
22,23,100
12,127,45
444,99,285
17,69,48
169,14,51
144,72,45
5,5,75
10,24,10
12,142,120
6,11,189
77,185,69
6,41,170
13,29,319
51,17,28
7,72,23
17,15,242
417,99,14
19,24,394
21,24,377
11,5,88
9,74,35
21,280,243
22,94,157
13,8,16
49,531,20
45,51,47
24,6,87
12,181,14
47,26,419
181,122,738
8,18,151
332,53,47
163,116,104
9,447,88
111,53,706
18,531,35
6,51,16
11,86,253
8,6,91
5,357,38
25,27,120
185,478,162
66,884,31
26,435,71
87,457,30
52,32,5
7,33,35
6,566,30
20,169,184
218,46,29
10,1089,49
11,475,7
36,488,109
28,48,50
63,46,126
10,39,30
214,58,110
97,8,60
137,15,87
522,26,357
43,276,411
10,59,327
8,569,338
5,50,54
14,17,34
215,157,10
28,46,16
327,1914,266
12,142,14
10,115,52
6,5,234
181,140,161
127,189,14
100,273,6
20,60,65
15,54,121
17,82,206
12,22,6
13,51,5
8,25,309
42,7,146
237,210,19
53,10,259
5,52,162
13,401,72
30,27,54
21,63,173
121,224,18
35,147,272
174,118,222
15,7,114
22,178,229
15,5,109
60,1140,16
79,14,22
9,21,91
15,25,145
232,748,38
11,800,41
15,88,529
23,141,68
13,573,251
6,190,64
113,155,91
2672,134,18
20,545,251
14,14,79
99,34,122
64,13,303
40,519,13
10,15,69
30,7,235
417,74,39
254,106,25
37,343,51
257,21,183
13,58,708
9,275,118
557,104,211
10,192,120
69,17,141
53,217,95
8,45,14
26,24,631
453,137,6
139,43,6
124,97,15
10,131,376
70,107,32
505,25,22
34,29,74
9,24,264
10,34,51
6,84,71
117,15,28
8,15,31
31,112,69
16,110,18
7,149,133
24,63,5
31,,51
46,,304
76,,22
6,,52
5,,57
20,,7
9,,238
72,,215
414,,538
21,,10
199,,12
21,,14
8,,16
451,,47
70,,22
12,,12
7,,216
417,,61
26,,26
8,,57
7,,53
70,,
14,,
461,,
230,,
6,,
524,,
6,,
55,,
117,,
17,,
67,,
143,,
587,,
7,,
10,,
56,,
61,,
19,,
7,,
98,,
13,,
5,,
18,,
54,,
43,,
78,,
128,,
166,,
27,,
49,,
8,,
23,,
13,,
87,,
29,,
8,,
215,,
6,,
246,,
48,,
17,,
20,,
213,,
202,,
125,,
9,,
147,,
76,,
9,,
23,,
40,,
11,,
58,,
21,,
21,,
64,,
27,,
24,,
7,,
49,,
22,,
17,,
37,,
926,,
100,,
37,,
138,,
279,,
6,,
30,,
35,,
20,,
26,,
76,,
5,,
2188,,
64,,
31,,
8,,
8,,
42,,
19,,
860,,
46,,
43,,
132,,
21,,
7,,
51,,
27,,
118,,
407,,
21,,
14,,
398,,
5,,
48,,
302,,
100,,
10,,
15,,
129,,
377,,
28,,
7,,
16,,
10,,
8,,
6,,
53,,
5,,
21,,
51,,
86,,
17,,
93,,
51,,
65,,
41,,
5,,
23,,
1561,,
209,,
20,,
6,,
45,,
33,,
5,,
32,,
11,,
35,,
18,,
7,,
181,,
149,,
93,,
33,,
41,,
19,,
15,,
108,,
135,,
697,,
50,,
11,,
18,,
63,,
32,,
16,,
10,,
7,,
13,,
7,,
147,,
41,,
70,,
1474,,
188,,
10,,
42,,
23,,
32,,
11,,
19,,
81,,
9,,
190,,
57,,
7,,
53,,
30,,
8,,
15,,
7,,
30,,
24,,
5,,
8,,
61,,
69,,
23,,
13,,
114,,
610,,
56,,
12,,
23,,
30,,
