1,2,3
17,140,62
40,325,336
78,121,160
32,106,7
8,319,93
27,6,148
117,69,155
14,63,238
19,305,392
26,150,7
20,20,103
343,19,6
7,184,51
100,148,31
5,156,104
44,196,181
39,291,738
15,153,98
112,41,61
12,9,194
312,1115,94
26,119,33
24,39,65
34,107,122
27,10,292
30,250,67
15,391,198
66,276,7
6,168,341
44,69,108
31,103,5
5,116,19
40,35,26
151,12,6
113,5,153
31,513,125
372,218,9
18,13,108
77,594,323
21,152,20
15,504,31
41,1466,59
16,46,217
17,218,202
18,106,128
5,7,157
139,372,141
12,31,29
13,108,57
39,12,102
13,212,7
23,104,213
69,153,100
17,150,396
171,212,768
28,164,202
46,167,213
5,54,109
10,344,24
47,508,416
27,45,54
34,151,113
23,22,134
40,14,15
6,12,70
38,74,94
216,707,78
30,42,7
23,55,143
40,245,23
22,136,156
28,67,440
21,129,43
11,158,93
9,60,111
29,55,5
6,29,8
54,54,13
20,341,50
87,,191
13,,243
25,,10
46,,96
33,,525
28,,5
115,,119
10,,108
39,,51
26,,39
36,,162
377,,91
5,,20
69,,178
11,,10
67,,
36,,
5,,
20,,
22,,
7,,
19,,
15,,
15,,
31,,
190,,
45,,
81,,
28,,
815,,
50,,
233,,
36,,
105,,
35,,
86,,
40,,
