,X,address,business_id,categories,city,hours,is_open,latitude,longitude,name,postal_code,review_count,stars,state,type
1086,18398,1020 Race St,AGlh4ZDv6jnoiYfz7At9mw,"Chinese, Restaurants, Dim Sum, Asian Fusion, Shanghainese",Philadelphia,"{'Monday': '11:0-22:0', 'Wednesday': '11:0-22:0', 'Thursday': '11:0-22:0', 'Friday': '11:0-22:0', 'Saturday': '11:0-22:0', 'Sunday': '11:0-22:0'}",1,39.955399,-75.156727,Dim Sum Garden,19107,2672,4,PA,Chinese
2164,38122,1022 Race St,ntiIq1FNqduOyyowMFGh5A,"Specialty Food, Noodles, Ethnic Food, Chinese, Comfort Food, Restaurants, Food",Philadelphia,"{'Monday': '11:0-22:0', 'Tuesday': '11:0-22:0', 'Wednesday': '11:0-22:0', 'Thursday': '11:0-22:0', 'Friday': '11:0-22:30', 'Saturday': '11:0-22:30', 'Sunday': '11:0-22:0'}",1,39.95540057,-75.1569011,Nan Zhou Hand Drawn Noodle House,19107,2188,4,PA,Chinese
1794,31103,723 Chestnut St,6_T2xzR74JqGCTPefAD8Tw,"Japanese, American (Traditional), American (New), Restaurants, Sushi Bars, Asian Fusion",Philadelphia,"{'Monday': '0:0-0:0', 'Tuesday': '17:0-22:0', 'Wednesday': '17:0-22:0', 'Thursday': '17:0-22:0', 'Friday': '16:0-21:0', 'Saturday': '17:0-23:0', 'Sunday': '17:0-22:0'}",1,39.94966523,-75.1532727,Morimoto,19106,1914,4.5,PA,Japanese
437,7289,204 N 9th St,Sv1MEZP-mMfp8SmE0hwYEA,"Japanese, Ramen, Ethnic Food, Restaurants, Local Flavor, Food, Specialty Food",Philadelphia,"{'Tuesday': '11:30-22:0', 'Wednesday': '11:30-22:0', 'Thursday': '11:30-22:0', 'Friday': '11:30-23:0', 'Saturday': '11:30-23:0', 'Sunday': '11:30-22:0'}",1,39.955402,-75.154484,Terakawa Ramen,19107,1693,4.5,PA,Japanese
2538,44978,325 Chestnut St,nIAbuktMEzVjT4P9pG89rQ,"Restaurants, Asian Fusion, Chinese",Philadelphia,"{'Monday': '17:0-22:0', 'Tuesday': '17:0-22:0', 'Wednesday': '17:0-22:0', 'Thursday': '17:0-22:0', 'Friday': '16:0-21:0', 'Saturday': '16:0-20:0', 'Sunday': '16:0-21:0'}",1,39.9489186,-75.1471667,Buddakan,19106,1561,4,PA,Chinese
2757,48577,123 Chestnut St,qISf5ojuYbD9h71NumGUQA,"Beer, Wine & Spirits, Chinese, Restaurants, Food, Szechuan, Noodles, Soup",Philadelphia,"{'Monday': '16:0-21:30', 'Tuesday': '15:0-21:30', 'Wednesday': '15:0-21:30', 'Thursday': '13:0-21:30', 'Friday': '12:0-22:0', 'Saturday': '12:0-22:0', 'Sunday': '12:0-21:30'}",1,39.94852578,-75.1437278,Han Dynasty,19106,1474,4,PA,Chinese
1125,19258,5229 N Florida Ave,KXecZki-_3N7afs6HKWM3A,"Japanese, Cocktail Bars, Bars, Nightlife, Diners, Ramen, Restaurants",Tampa,"{'Monday': '11:0-23:0', 'Tuesday': '11:0-23:0', 'Wednesday': '11:0-23:0', 'Thursday': '11:0-1:0', 'Friday': '11:0-1:0', 'Saturday': '11:0-1:0', 'Sunday': '11:0-16:0'}",1,27.9949924,-82.459141,Ichicoro Ramen,33603,1466,4,FL,Japanese
244,4334,"400 W 5th St, Ste 104",mcr1lAEdvGLMJhuPwI3I2A,"Food, Restaurants, Chinese, Bubble Tea, Taiwanese",Reno,"{'Monday': '0:0-0:0', 'Wednesday': '16:30-21:0', 'Thursday': '16:30-21:0', 'Friday': '16:30-21:0', 'Saturday': '16:30-21:0', 'Sunday': '16:30-21:0'}",1,39.52986741,-119.8201728,101 Taiwanese Cuisine,89503,1145,4,NV,Chinese
2180,38433,120 S 13th St,Ipkx4Sa7ybn8C6LtTqTztw,"Nightlife, Sushi Bars, Cafes, Japanese, Bars, Restaurants",Philadelphia,"{'Monday': '16:0-22:0', 'Tuesday': '16:0-22:0', 'Wednesday': '16:0-23:0', 'Thursday': '16:0-23:0', 'Friday': '16:0-0:0', 'Saturday': '16:0-0:0', 'Sunday': '16:0-22:0'}",1,39.9496993,-75.162185,Double Knot,19107,1140,4.5,PA,Japanese
516,8530,"601 S Harbour Island Blvd, Ste 100",_0QZGrg91aaiMhh7tQyYYg,"Seafood, Japanese, Nightlife, Dance Clubs, Bars, American (New), Restaurants, Sushi Bars",Tampa,"{'Monday': '11:0-22:0', 'Tuesday': '11:0-22:0', 'Wednesday': '11:0-22:0', 'Thursday': '12:0-20:0', 'Friday': '11:0-23:0', 'Saturday': '11:0-23:0', 'Sunday': '10:30-22:0'}",1,27.9387237,-82.4548811,Jacksons Bistro Bar & Sushi,33602,1115,3.5,FL,Japanese
