name,country.etc,pop,lat,long,capital,review_rec,stars_rec,top_rec
Philadelphia,PA,1439814,40.01,-75.13,0,"There was no significant difference in the number of reviews. Chinese restaurants scored significantly lower than the other two categories. Philadelphia has relatively high spending power, and the overall number of reviews for restaurants is high.","Philadelphia has same preference for all three types of restaurants. Although the rating of Chinese restaurants is relatively low, there are several restaurants with a lot of reviews, which means that if investors can seriously manage Chinese restaurants, the investment potential is relatively greater.",Chinese
Indianapolis,IN,771725,39.78,-86.15,2,The number of reviews for the Chinese restaurant was significantly lower than the other two. Southeast Asian and Japanese restaurants have significantly higher stars than Chinese restaurants. ,"Indianapolis has a high preference for Southeast Asian and Japanese restaurants, which means that choosing to run a Chinese restaurant here is not a particularly favorable choice.",Southeast Asian OR Japanese
Tucson,AZ,525268,32.2,-110.89,0,"There are significant differences in the number of reviews between Chinese restaurants and the other two types of restaurants, and Chinese restaurants have significantly lower ratings than the others.","Tucson has a high preference for Japanese restaurants, which means it is a favorable choice to open a Japanese restaurant here. Because Japanese restaurants have more high reviews than Southeast Asian restaurants, and Southeast Asian restaurants have more low reviews than Japanese restaurants.",Japanese
Nashville,TN,523547,36.17,-86.78,2,There is a significant difference in the number of reviews between Chinese and Southeast Asian restaurants. Chinese restaurants scored significantly lower than the other two categories.,"Nashville prefers Southeast Asian restaurants followed by Japanese and Chinese restaurants, which means that choosing to open a Chinese restaurant here is not a particularly favorable choice. If you want to open a Southeast Asian restaurant, you need to pay attention to the quality.",Southeast Asian
New Orleans,LA,454207,30.07,-89.93,0,There is a significant difference in the number of reviews for Chinese and Japanese restaurants. Chinese restaurants scored significantly lower than the other two categories. ,"New Orleans has a high preference for Southeast Asian and Japanese restaurants, which means that it is a favorable choice to open a Southeast or Japanese restaurant here. The top recommendation is the Japanese restaurant, but pay attention to the rating and quality!",Japanese
Tampa,FL,384959,27.9475,-82.458611,0,"There are significant differences in the number of reviews between Chinese restaurants and the other two types of restaurants, and Southeast Asian restaurants have significantly higher ratings than Japanese and Chinese restaurants.","Tampa has a higher preference for Southeast Asian restaurants and Japanese restaurants, Japanese restaurants have more high reviews but generally lower ratings than Southeast Asian restaurants. It means that Southeast Asian and Japanese restaurants are both good investments, but Japanese restaurants have higher potential.",Japanese
St. Louis,MO,315546,38.64,-90.24,0,The number of reviews for the Chinese restaurant was significantly lower than the other two. Chinese restaurants star significantly lower than the other two categories. ,"St. Louis has a high preference for Southeast Asian and Japanese restaurants, which means that choosing to run a Chinese restaurant here is not a particularly favorable choice.",Southeast Asian OR Japanese
St. Petersburg,FL,245804,27.76,-82.64,0,"The number of ratings for Chinese restaurants was significantly different from the other restaurants, and Chinese restaurants had significantly lower ratings than the other two categories","St. Petersburg has a high preference for Southeast Asian and Japanese restaurants, which means it is a favorable choice to open a Southeast or Japanese restaurant here. Although the rating variance of Japanese restaurants is huge, the number of reviews is relatively high, which reflects the popularity of Japanese food in the local area. Therefore, Japanese restaurants are relatively recommended, and merchants can try to improve their own ratings.",Japanese
Reno,NV,206626,39.54,-119.82,0,There is a significant difference in the number of reviews for Japanese and Chinese restaurants. Chinese restaurants scored significantly lower than the other two categories.,"Reno has a high preference for Japanese restaurants, which means that it is a favorable choice to open a Japanese restaurant here. You need to be cautious when opening Chinese food in Reno, and the taste may not be in line with the local area.",Japanese
Boise,ID,193628,43.61,-116.23,2,Average reviews of Chinese restaurants are significantly lower than those of Southeast Asian restaurants. Chinese restaurants had significantly lower stars than the other two categories. The ratings and popularity of Japanese restaurants and Southeast Asian restaurants are not much different.,"Boise has a higher preference for Southeast Asian restaurants followed by Japan and China. Investors who wants to invest in Chinese food need to be cautious, because the consumer market for Chinese food in Boise is not large, and the ratings are low. The taste of Chinese food may not suit the local taste of Boise. For owners who want to invest in Japanese or Southeast Asian restaurants, although both are more welcome, the original restaurants have high ratings. Therefore, owners who want to open new Japanese restaurants or Southeast Asian restaurants in Boise need to pay attention to the management of restaurants such as taste, price, and operating details to improve the score.",Southeast Asian
