,address,business_id,categories,city,hours,is_open,latitude,longitude,name,postal_code,review_count,stars,state
4,,eEOYSgkmpB90uNA7lDOMRA,"Vietnamese, Food, Restaurants, Food Trucks",Tampa Bay,"{'Monday': '11:0-14:0', 'Tuesday': '11:0-14:0', 'Wednesday': '11:0-14:0', 'Thursday': '11:0-14:0', 'Friday': '11:0-14:0', 'Saturday': '5:0-10:0', 'Sunday': '15:0-18:0'}",1,27.9552692,-82.4563199,Vietnamese Food Truck,33602,10,4,FL
7,205 Race St,MUTTqe8uqyMdBl186RmNeA,"Sushi Bars, Restaurants, Japanese",Philadelphia,"{'Tuesday': '13:30-22:0', 'Wednesday': '13:30-22:0', 'Thursday': '13:30-22:0', 'Friday': '13:30-23:0', 'Saturday': '13:30-23:0', 'Sunday': '13:30-22:0'}",1,39.953949,-75.1432262,Tuna Bar,19106,245,4,PA
13,215 1st Ave S,tMkwHmWFUEXrC9ZduonpTg,"Restaurants, Japanese, Seafood",Nashville,"{'Wednesday': '16:0-22:0', 'Thursday': '16:0-22:0', 'Friday': '16:0-23:0', 'Saturday': '16:0-23:0'}",0,36.1598858,-86.7731974,The Green Pheasant,37201,161,4,TN
21,"1625 W Valencia Rd, Ste 101-103",wghnIlMb_i5U46HMBGx9ig,"Restaurants, Chinese",Tucson,"{'Monday': '11:0-21:0', 'Tuesday': '11:0-21:0', 'Wednesday': '11:0-21:0', 'Thursday': '11:0-21:0', 'Friday': '11:0-21:0', 'Saturday': '11:0-21:0', 'Sunday': '11:0-21:0'}",0,32.1323047,-110.9999851,China Dragon Restaurant,85746,23,3,AZ
36,2501 Mt Holly Rd 245,NZ_bFJma7brQUfln5h1UAg,"Restaurants, Japanese, Sushi Bars, Asian Fusion",Burlington,,0,40.0416285,-74.8258209,Super Sushi Kyo Hin,8016,6,3.5,NJ
52,1800 Spring Garden St,3BJxm-HnvzdwD1zjmSbmyQ,"Restaurants, Chinese",Philadelphia,"{'Monday': '0:0-0:0', 'Tuesday': '11:0-22:30', 'Wednesday': '11:0-22:30', 'Thursday': '11:0-22:30', 'Friday': '11:0-22:30', 'Saturday': '11:0-22:30', 'Sunday': '12:0-22:30'}",1,39.96307771,-75.16802745,Golden Chopstick Chinese Restaurant,19130,137,3,PA
56,"390 N McCarran Blvd, Ste B",Lx8ZYUJ_-3Aa8N821mN1WQ,"Restaurants, Filipino",Sparks,"{'Monday': '10:0-19:0', 'Tuesday': '10:0-19:0', 'Wednesday': '10:0-19:0', 'Thursday': '10:0-19:0', 'Friday': '10:0-19:0', 'Saturday': '9:0-19:0'}",0,39.5371788,-119.7355322,ALM Kainan,89434,13,4,NV
57,243 S 10th St,WYYdQDjx-DsCanlP0DpImQ,"Seafood, Restaurants, Sushi Bars, Japanese",Philadelphia,"{'Tuesday': '11:0-22:0', 'Wednesday': '11:0-22:0', 'Thursday': '11:0-22:0', 'Friday': '11:0-22:30', 'Saturday': '12:0-22:30', 'Sunday': '12:0-22:0'}",0,39.9470334,-75.1574339,J Sushi,19107,72,4.5,PA
65,2875 Tyrone Blvd N,7Du9oW73YcYFmXdtU5aiSg,"Japanese, Sushi Bars, Restaurants",Saint Petersburg,"{'Monday': '12:0-22:0', 'Tuesday': '12:0-22:0', 'Wednesday': '12:0-22:0', 'Thursday': '12:0-22:0', 'Friday': '12:0-1:0', 'Saturday': '12:0-1:0', 'Sunday': '12:0-22:0'}",0,27.7972626,-82.7339127,Kinjo's Japanese Restaurant,33710,17,3.5,FL
77,"7411 N Keystone Ave, Ste A",Dtuf4vD0znzwJW9vk3iTNw,"Steakhouses, Restaurants, Sushi Bars, Japanese",Indianapolis,"{'Monday': '0:0-0:0', 'Tuesday': '16:30-22:0', 'Wednesday': '16:30-22:0', 'Thursday': '16:30-22:0', 'Friday': '16:30-22:30', 'Saturday': '12:0-22:30', 'Sunday': '12:30-21:30'}",1,39.8887246,-86.1212129,Tomo Japanese Steakhouse and Sushi Bar,46240,246,4,IN
