,address,business_id,categories,city,hours,is_open,latitude,longitude,name,postal_code,review_count,stars,state
21,"1625 W Valencia Rd, Ste 101-103",wghnIlMb_i5U46HMBGx9ig,"Restaurants, Chinese",Tucson,"{'Monday': '11:0-21:0', 'Tuesday': '11:0-21:0', 'Wednesday': '11:0-21:0', 'Thursday': '11:0-21:0', 'Friday': '11:0-21:0', 'Saturday': '11:0-21:0', 'Sunday': '11:0-21:0'}",0,32.1323047,-110.9999851,China Dragon Restaurant,85746,23,3,AZ
52,1800 Spring Garden St,3BJxm-HnvzdwD1zjmSbmyQ,"Restaurants, Chinese",Philadelphia,"{'Monday': '0:0-0:0', 'Tuesday': '11:0-22:30', 'Wednesday': '11:0-22:30', 'Thursday': '11:0-22:30', 'Friday': '11:0-22:30', 'Saturday': '11:0-22:30', 'Sunday': '12:0-22:30'}",1,39.96307771,-75.16802745,Golden Chopstick Chinese Restaurant,19130,137,3,PA
95,10126 - 107 Avenue NW,jcL_qaGJiappzpnn-ifSoA,"Chinese, Restaurants, Filipino",Edmonton,,0,53.5515508,-113.4951554,Fat Jakks,T5H 0V6,8,4,AB
160,13399 Olive Blvd,NpglDX_FUp3ybEzbBp4qhw,"Restaurants, Chinese",Chesterfield,"{'Monday': '11:0-21:0', 'Tuesday': '11:0-21:0', 'Wednesday': '11:0-21:0', 'Thursday': '11:0-21:0', 'Friday': '11:0-21:30', 'Saturday': '12:0-21:30', 'Sunday': '16:30-21:0'}",0,38.6811546,-90.496384,Summer Palace Chinese Restaurant,63017,9,2.5,MO
163,5680 S 12th Ave,D7z_V6E8cxXghSRcHAmUPg,"Restaurants, Chinese",Tucson,"{'Tuesday': '11:0-19:30', 'Wednesday': '11:0-19:30', 'Thursday': '11:0-19:30', 'Friday': '11:0-19:30', 'Saturday': '11:0-19:30'}",1,32.149473,-110.9781864,La Bella China Restaurant,85706,92,4,AZ
187,334 W Bridge St,SoJwDKedR7SJh7-G69C38A,"Chinese, Restaurants",New Hope,"{'Monday': '11:0-22:0', 'Tuesday': '11:0-22:0', 'Wednesday': '11:0-22:0', 'Thursday': '11:0-22:0', 'Friday': '11:0-22:0', 'Saturday': '11:0-22:0', 'Sunday': '12:0-21:30'}",0,40.36390781,-74.96602191,Hong Kong Sunny,18938,18,3,PA
242,1221 4th St N,Yas-A9Jf07TJCIcgZny04w,"Restaurants, Chinese",Saint Petersburg,,0,27.7846206,-82.6383517,China City Restaurant,33701,14,2.5,FL
284,Church Rd & Hainespo,gyUBYwpUO_u0nqZdre4l1g,"Chinese, Restaurants",Marlton,"{'Monday': '11:0-21:30', 'Tuesday': '11:0-21:30', 'Wednesday': '11:0-21:30', 'Thursday': '11:0-21:30', 'Friday': '11:0-22:30', 'Saturday': '11:0-22:30', 'Sunday': '14:0-21:30'}",1,39.91611306,-74.92151896,Shanghai Express,8053,74,4,NJ
292,326 N Chester Pike,7Ct4QuWaY63DkAOXqEiVGA,"Chinese, Restaurants",Glenolden,,1,39.9033171,-75.2844083,Hong Kong Chinese Restaurant,19036,18,3,PA
297,12901 97 Street NW,qS4CaO_u_vMrTl31XJto1A,"Buffets, Restaurants, Chinese",Edmonton,"{'Monday': '11:0-22:0', 'Tuesday': '11:0-22:0', 'Wednesday': '11:0-22:0', 'Thursday': '11:0-22:0', 'Friday': '11:0-22:0', 'Saturday': '16:0-22:0', 'Sunday': '12:0-22:0'}",1,53.5878652,-113.4915257,Szechuan Paramount Restaurant,T5E 4C2,25,3,AB
298,545 Rockledge Ave,NVpbPRDvfwjb85CJwWE0nQ,"Chinese, Restaurants, Seafood, Noodles",Huntingdon Valley,"{'Tuesday': '11:0-21:0', 'Wednesday': '11:0-21:0', 'Thursday': '11:0-21:0', 'Friday': '11:0-22:0', 'Saturday': '11:0-22:0', 'Sunday': '12:0-21:0'}",1,40.09039773,-75.09267603,China Wok,19006,55,4,PA
322,"6878 E Sunrise Dr, Ste 120",fVPPZWf5QghlCLYRYec1rg,"Restaurants, Chinese",Tucson,,0,32.3088305,-110.8454971,China Sunrise Restaurant,85750,12,3.5,AZ
