,address,business_id,categories,city,hours,is_open,latitude,longitude,name,postal_code,review_count,stars,state
7,205 Race St,MUTTqe8uqyMdBl186RmNeA,"Sushi Bars, Restaurants, Japanese",Philadelphia,"{'Tuesday': '13:30-22:0', 'Wednesday': '13:30-22:0', 'Thursday': '13:30-22:0', 'Friday': '13:30-23:0', 'Saturday': '13:30-23:0', 'Sunday': '13:30-22:0'}",1,39.953949,-75.1432262,Tuna Bar,19106,245,4,PA
13,215 1st Ave S,tMkwHmWFUEXrC9ZduonpTg,"Restaurants, Japanese, Seafood",Nashville,"{'Wednesday': '16:0-22:0', 'Thursday': '16:0-22:0', 'Friday': '16:0-23:0', 'Saturday': '16:0-23:0'}",0,36.1598858,-86.7731974,The Green Pheasant,37201,161,4,TN
36,2501 Mt Holly Rd 245,NZ_bFJma7brQUfln5h1UAg,"Restaurants, Japanese, Sushi Bars, Asian Fusion",Burlington,,0,40.0416285,-74.8258209,Super Sushi Kyo Hin,8016,6,3.5,NJ
57,243 S 10th St,WYYdQDjx-DsCanlP0DpImQ,"Seafood, Restaurants, Sushi Bars, Japanese",Philadelphia,"{'Tuesday': '11:0-22:0', 'Wednesday': '11:0-22:0', 'Thursday': '11:0-22:0', 'Friday': '11:0-22:30', 'Saturday': '12:0-22:30', 'Sunday': '12:0-22:0'}",0,39.9470334,-75.1574339,J Sushi,19107,72,4.5,PA
65,2875 Tyrone Blvd N,7Du9oW73YcYFmXdtU5aiSg,"Japanese, Sushi Bars, Restaurants",Saint Petersburg,"{'Monday': '12:0-22:0', 'Tuesday': '12:0-22:0', 'Wednesday': '12:0-22:0', 'Thursday': '12:0-22:0', 'Friday': '12:0-1:0', 'Saturday': '12:0-1:0', 'Sunday': '12:0-22:0'}",0,27.7972626,-82.7339127,Kinjo's Japanese Restaurant,33710,17,3.5,FL
77,"7411 N Keystone Ave, Ste A",Dtuf4vD0znzwJW9vk3iTNw,"Steakhouses, Restaurants, Sushi Bars, Japanese",Indianapolis,"{'Monday': '0:0-0:0', 'Tuesday': '16:30-22:0', 'Wednesday': '16:30-22:0', 'Thursday': '16:30-22:0', 'Friday': '16:30-22:30', 'Saturday': '12:0-22:30', 'Sunday': '12:30-21:30'}",1,39.8887246,-86.1212129,Tomo Japanese Steakhouse and Sushi Bar,46240,246,4,IN
97,5106 E Fowler Ave,dJfkfBbJz7wi0RgW-ph_Eg,"Restaurants, Sushi Bars, Japanese",Tampa,"{'Monday': '11:0-23:0', 'Tuesday': '11:0-2:0', 'Wednesday': '11:0-2:0', 'Thursday': '11:0-2:0', 'Friday': '11:0-2:0', 'Saturday': '12:30-2:0', 'Sunday': '12:30-22:0'}",0,28.055212,-82.399374,Sake House,33617,140,3,FL
107,401 E City Ave,-7GDqSUaXrpC8Ql7nDBxWA,"Nightlife, Bars, Cocktail Bars, Japanese, Restaurants, Sushi Bars, Asian Fusion",Bala Cynwyd,"{'Monday': '11:30-22:0', 'Tuesday': '16:30-22:0', 'Wednesday': '11:30-22:0', 'Thursday': '11:30-22:0', 'Friday': '11:30-0:0', 'Saturday': '16:30-0:0', 'Sunday': '16:30-22:0'}",0,40.00798391,-75.21260649,B2 Bluefin,19004,92,4,PA
174,210 South Buchanan,uYBx50Yl_Jc-UYwFzudBsQ,"Restaurants, Chicken Shop, Ramen, Japanese",Edwardsville,"{'Monday': '0:0-0:0', 'Tuesday': '11:0-21:0', 'Wednesday': '11:0-21:0', 'Thursday': '16:0-20:0', 'Friday': '11:0-21:0', 'Saturday': '16:0-22:0'}",0,38.8105909,-89.9524841,Chew Doin Fried Chicken & Ramen,62025,10,3,IL
223,5714 111 Street NW,jZoeTGRfhG9n_Jo6VMqwxw,"Restaurants, Sushi Bars, Japanese",Edmonton,"{'Tuesday': '17:0-21:0', 'Wednesday': '17:0-21:0', 'Thursday': '17:0-21:0', 'Friday': '17:0-21:30', 'Saturday': '17:0-21:30', 'Sunday': '17:0-20:30'}",1,53.49457728,-113.5179465,Sushi Wasabi,T6H 3G1,57,4,AB
255,"3401 W Bay To Bay Blvd, Ste D",71U7MxQEhwitJOm4CQpRwQ,"Japanese, Sushi Bars, Food, Restaurants, Asian Fusion, Poke, Acai Bowls",Tampa,"{'Monday': '0:0-0:0', 'Tuesday': '11:0-16:0', 'Wednesday': '11:0-22:0', 'Thursday': '11:0-22:0', 'Friday': '11:0-20:0', 'Saturday': '16:0-22:0', 'Sunday': '11:0-22:0'}",1,27.920067,-82.4989209,KELP Sushi Joint,33629,325,4,FL
310,720 Haddon Ave,hfN3l0gJ-XszD1XFGNvA6A,"Japanese, Restaurants",Collingswood,"{'Monday': '11:0-22:0', 'Tuesday': '11:0-22:0', 'Wednesday': '11:0-22:0', 'Thursday': '11:0-22:0', 'Friday': '11:0-23:0', 'Saturday': '12:0-23:0', 'Sunday': '12:0-22:0'}",0,39.91576,-75.068382,Akira,8108,40,3,NJ
327,14025 Manchester Rd,bdth7r1brx9yRU7sYwF9jQ,"Japanese, Asian Fusion, Wine Bars, Bars, Restaurants, Sushi Bars, Nightlife",Ballwin,"{'Monday': '0:0-0:0', 'Tuesday': '17:0-21:0', 'Wednesday': '17:0-21:0', 'Thursday': '17:0-21:0', 'Friday': '17:0-21:0', 'Saturday': '17:0-21:0', 'Sunday': '17:0-21:0'}",1,38.596068,-90.493565,Nippon Tei,63011,254,4,MO
338,2176 Tyrone Blvd N,dUctvEfHQccW_uxtRup2QQ,"Steakhouses, Restaurants, Sushi Bars, Japanese",Saint Petersburg,"{'Monday': '17:0-22:0', 'Tuesday': '17:0-22:0', 'Wednesday': '17:0-22:0', 'Thursday': '17:0-22:0', 'Friday': '17:0-23:0', 'Saturday': '17:0-23:0', 'Sunday': '17:0-22:0'}",1,27.7899621,-82.7262212,Tsunami Japanese Steakhouse,33710,212,3,FL
343,915 Race St,L_sXNadtVHjxMw7Yhvkj9Q,"Ramen, Restaurants, Japanese",Philadelphia,"{'Monday': '11:0-22:0', 'Tuesday': '11:0-22:0', 'Wednesday': '11:0-22:0', 'Thursday': '11:0-22:0', 'Friday': '11:0-23:0', 'Saturday': '11:0-23:0', 'Sunday': '11:0-22:0'}",0,39.955454,-75.1549,Naoki Ramen,19107,92,4,PA
378,1200 S Church St,qUHaTDZlzjPXSvXrLk66mw,"Ramen, Japanese, Restaurants",Mount Laurel Township,"{'Monday': '11:0-21:0', 'Tuesday': '11:0-21:0', 'Wednesday': '11:0-21:0', 'Thursday': '11:0-21:0', 'Friday': '11:0-22:0', 'Saturday': '11:0-22:0', 'Sunday': '11:0-21:0'}",1,39.9199498,-74.9283212,Rai Rai Ramen,8054,196,4.5,NJ
425,12521 Olive Blvd,_v_iFg_1a7nBBJVy8O02HQ,"Japanese, Steakhouses, Restaurants",Creve Coeur,"{'Monday': '11:0-21:30', 'Tuesday': '11:0-21:30', 'Wednesday': '11:0-21:30', 'Thursday': '11:0-21:30', 'Friday': '11:0-22:30', 'Saturday': '11:0-22:30', 'Sunday': '11:0-21:30'}",0,38.6758808,-90.4633168,Shogun,63141,24,3,MO
464,13419 Olive Blvd,94comc1YjKMNU-WSH-Fznw,"Japanese, Restaurants",Chesterfield,"{'Monday': '17:0-22:0', 'Tuesday': '17:0-22:0', 'Wednesday': '17:0-0:0', 'Thursday': '17:0-0:0', 'Friday': '17:0-0:0', 'Saturday': '17:0-0:0'}",0,38.68056923,-90.49778197,Yakuza,63017,32,3,MO
481,"International Plz, 2223 N Westshore Blvd",v8IbZ6wcvdyGqWpbDKDvfA,"Sushi Bars, Fast Food, Japanese, Restaurants",Tampa,"{'Monday': '11:0-21:0', 'Tuesday': '11:0-21:0', 'Wednesday': '11:0-21:0', 'Thursday': '11:0-21:0', 'Friday': '11:0-21:0', 'Saturday': '11:0-21:0', 'Sunday': '11:0-18:0'}",0,27.964536,-82.520756,YO! Sushi,33607,121,4,FL
517,"260 1st Ave S, Ste 100",nFjk0xVI9fNiVN__5g-m8Q,"Ramen, Restaurants, Tapas/Small Plates, Nightlife, Japanese, Bars, Cocktail Bars",Saint Petersburg,"{'Monday': '0:0-0:0', 'Tuesday': '15:0-1:0', 'Thursday': '15:0-0:0', 'Friday': '15:0-2:0', 'Saturday': '11:0-2:0', 'Sunday': '11:0-0:0'}",1,27.7701014,-82.6364594,Ichicoro Ane,33701,264,4,FL
547,8701 109 Street NW,Cr-uaPrfvG7tvqzLGAGErA,"Japanese, Restaurants, Sushi Bars, Asian Fusion",Edmonton,"{'Monday': '11:0-22:0', 'Tuesday': '11:0-22:0', 'Wednesday': '11:0-22:0', 'Thursday': '11:0-22:0', 'Friday': '11:0-23:0', 'Saturday': '11:0-23:0', 'Sunday': '11:0-22:0'}",1,53.52313332,-113.5113531,Kyoto Japanese Cuisine,T6G 2L5,58,3.5,AB
554,35 W Lancaster Ave,zzHtFjfM7NvuVM1HTsCLGA,"Sushi Bars, Ramen, Restaurants, Japanese",Paoli,"{'Monday': '12:0-20:0', 'Tuesday': '12:0-20:0', 'Wednesday': '12:0-20:0', 'Thursday': '12:0-20:0', 'Friday': '12:0-21:0', 'Saturday': '12:0-21:0', 'Sunday': '12:0-20:0'}",0,40.0420645,-75.4858339,Nom Nom Japanese Kitchen,19301,35,4.5,PA
558,2773 66th St N,HJe8eEH5qXRjQMAh1VfV_w,"Japanese, Steakhouses, Restaurants, Sushi Bars, Teppanyaki",St. Petersburg,"{'Monday': '17:0-21:30', 'Tuesday': '17:0-21:30', 'Wednesday': '17:0-21:30', 'Thursday': '17:0-21:30', 'Friday': '17:0-22:0', 'Saturday': '12:0-22:0', 'Sunday': '12:0-21:30'}",1,27.7969526,-82.7278308,Kobe Japanese Steakhouse,33710,91,4.5,FL
561,3210 E Valencia Rd,lhsQkb5nhf-Kd5OvgB9MNg,"Japanese, Restaurants, Sushi Bars",Tucson,"{'Monday': '11:0-20:0', 'Tuesday': '11:0-20:0', 'Wednesday': '11:0-20:0', 'Thursday': '11:0-20:0', 'Friday': '11:0-20:45', 'Saturday': '12:0-20:0', 'Sunday': '16:0-20:0'}",1,32.1336786,-110.9234427,Sachiko Sushi,85706,191,3.5,AZ
566,4949 W Pine Blvd,ARgidflSXPHj7uhK-Y7hwA,"Japanese, Sushi Bars, Restaurants",St Louis,"{'Monday': '17:0-22:0', 'Tuesday': '17:0-22:0', 'Wednesday': '17:0-22:0', 'Thursday': '17:0-22:0', 'Friday': '17:0-23:0', 'Saturday': '17:0-23:0', 'Sunday': '17:0-21:0'}",1,38.642407,-90.2632879,Kampai Sushi Bar,63108,328,4,MO
574,1601 E Passyunk Ave,Bw0cpnfI-Y9QmjWzqS-oFg,"Restaurants, Sushi Bars, Desserts, Food, Japanese",Philadelphia,"{'Tuesday': '17:0-22:0', 'Wednesday': '17:0-22:0', 'Thursday': '17:0-22:0', 'Friday': '17:0-23:0', 'Saturday': '17:0-23:0', 'Sunday': '17:0-22:0'}",0,39.929738,-75.1633963,Izumi,19148,219,4,PA
585,1570 Rt 38,7UxNDF6ZpabC3O0-Qbg3Xw,"Restaurants, Sushi Bars, Japanese, Salad",Lumberton,,0,39.981839,-74.7987789,Yama Japanese Restaurant,8048,52,3,NJ
